date,open,high,low,close,volume
22.11.2024 16:30:00.000,1.03956,1.03998,1.03949,1.03976,3977.7599999999998
22.11.2024 16:45:00.000,1.03977,1.04000,1.03938,1.03986,3069.2999999999997
22.11.2024 17:00:00.000,1.03987,1.04088,1.03984,1.04079,5110.429999999999
22.11.2024 17:15:00.000,1.04079,1.04103,1.04029,1.04096,3085.44
22.11.2024 17:30:00.000,1.04098,1.04178,1.04083,1.04170,2781.78
22.11.2024 17:45:00.000,1.04170,1.04206,1.04149,1.04192,2464.59
22.11.2024 18:00:00.000,1.04190,1.04256,1.04187,1.04225,2343.62
22.11.2024 18:15:00.000,1.04224,1.04235,1.04194,1.04209,1927.8200000000002
22.11.2024 18:30:00.000,1.04209,1.04230,1.04173,1.04177,1529.68
22.11.2024 18:45:00.000,1.04177,1.04199,1.04150,1.04168,2040.3600000000001
22.11.2024 19:00:00.000,1.04167,1.04190,1.04148,1.04160,1342.8299999999997
22.11.2024 19:15:00.000,1.04161,1.04179,1.04139,1.04149,1944.0600000000004
22.11.2024 19:30:00.000,1.04150,1.04150,1.04089,1.04108,1881.17
22.11.2024 19:45:00.000,1.04108,1.04129,1.04091,1.04110,2063.2
22.11.2024 20:00:00.000,1.04110,1.04124,1.04082,1.04100,1353.48
22.11.2024 20:15:00.000,1.04099,1.04150,1.04083,1.04145,1706.04
22.11.2024 20:30:00.000,1.04146,1.04177,1.04145,1.04164,1495.76
22.11.2024 20:45:00.000,1.04164,1.04174,1.04131,1.04147,1736.0400000000004
22.11.2024 21:00:00.000,1.04147,1.04166,1.04136,1.04163,1529.3700000000001
22.11.2024 21:15:00.000,1.04164,1.04181,1.04161,1.04179,809.7099999999999
22.11.2024 21:30:00.000,1.04179,1.04187,1.04147,1.04156,1044.1899999999998
22.11.2024 21:45:00.000,1.04156,1.04269,1.04148,1.04235,2182.3500000000004
24.11.2024 22:00:00.000,1.04807,1.04844,1.04729,1.04744,835.4699999999999
24.11.2024 22:15:00.000,1.04745,1.04765,1.04641,1.04696,956.9699999999999
24.11.2024 22:30:00.000,1.04696,1.04837,1.04690,1.04824,2275.9399999999996
24.11.2024 22:45:00.000,1.04825,1.04834,1.04764,1.04829,1396.5600000000002
24.11.2024 23:00:00.000,1.04827,1.04851,1.04680,1.04840,3402.6499999999996
24.11.2024 23:15:00.000,1.04840,1.05014,1.04824,1.04988,4367.929999999999
24.11.2024 23:30:00.000,1.04987,1.05011,1.04806,1.04817,5456.01
24.11.2024 23:45:00.000,1.04815,1.04817,1.04767,1.04796,2599.73
25.11.2024 00:00:00.000,1.04795,1.04803,1.04738,1.04798,5020.65
25.11.2024 00:15:00.000,1.04795,1.04851,1.04766,1.04778,5564.2699999999995
25.11.2024 00:30:00.000,1.04775,1.04819,1.04748,1.04808,3086.4900000000007
25.11.2024 00:45:00.000,1.04807,1.04851,1.04768,1.04815,2621.0800000000004
25.11.2024 01:00:00.000,1.04814,1.04842,1.04753,1.04753,3062.000000000001
25.11.2024 01:15:00.000,1.04752,1.04878,1.04743,1.04871,2632.3999999999996
25.11.2024 01:30:00.000,1.04871,1.04901,1.04813,1.04824,4739.2
25.11.2024 01:45:00.000,1.04825,1.04856,1.04763,1.04780,6636.5599999999995
25.11.2024 02:00:00.000,1.04779,1.04819,1.04748,1.04816,3509.24
25.11.2024 02:15:00.000,1.04818,1.04851,1.04807,1.04846,2239.54
25.11.2024 02:30:00.000,1.04846,1.04896,1.04846,1.04865,2353.2999999999997
